smiles,score,time
O=c1nc(NO)ccn1C1CCC(CO)O1,-7.62,2.955
CCN(CC)CCC(=O)Nc1ccc(O)c2c1C(=O)c1c(O)ccc(O)c1C2=O,-8.62,6.072
CC(C)Cc1ccc(C(C)C(=O)OCc2ccccc2)cc1,-9.62,4.159
O=C(O)c1cn(-c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2c1=O,-8.24,4.886
CC(C)c1nc2cc(Cl)c(Cl)cc2[nH]1,-7.08,2.114
Nc1nccnc1C(=O)OCC(=O)N1CCc2[nH]c3ccccc3c2C1,-10.63,4.819
CCC(SCC(NC(=O)C(C)CS)C(=O)O)c1ccc(C(C)C)cc1,-7.67,6.979
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C(F)(F)F)cc3)c(N)c2c1C,-10.08,6.003
COc1ccccc1C(=Cc1coc2nc(=N)[nH]c(N)c12)CC(C)C,-8.53,5.703
CC(C)CC(=O)Nc1ccc(NC(=O)c2ccco2)c(O)c1,-9.26,4.236
Cn1c(-c2ccc(NC(=O)CN3CCSCC3)cc2)nc2cc(C(F)(F)F)ccc21,-10.97,5.913
CCn1ccc2ccc3c(c4c(c5c6ccccc6n(CCCO)c35)C(=O)NC4=O)c21,-8.33,4.999
CCN(CC)CCCNC(=O)c1ccc2c(c1O)C(=O)c1ccccc1C2=O,-9.76,5.598
CSc1nnc(SC(C)C(=O)N(C)C2(C#N)CCC(C)CC2)s1,-7.64,4.825
CSc1ccccc1NC(=O)c1cccnc1,-7.97,2.953
Cc1nc(O)nc2ccc(N3CCN(C)CC3)cc12,-7.98,3.005
CCN(CC)C1CN(C(=O)c2ccc(C#N)cc2)C2CCCOC12,-7.39,4.251
Oc1ccc2c(c1)CC(NCc1ccccc1)CC2,-9.56,3.34
CC(C)Cc1ccc(C(C)C(=O)OCCCc2cccnc2)cc1,-8.77,5.765
O=C1C2CC=CCC2C(=O)N1CC(=O)N1CCCc2cc(OC(F)(F)F)ccc21,-9.9,5.359
COc1cc(F)ccc1-c1csc(C(O)(c2ccccc2)C(F)(F)F)n1,-9.11,5.546
COc1ncc(C2CC2)nc1C(=O)Nc1ccc2nc(-c3ccccc3)nn2c1,-10.91,6.052
CCC(C)(NC(=O)Nc1ccc(Cl)cc1)C(=O)O,-7.86,3.533
Cc1nnc(N2CCN(Cc3ccccc3)CC2)nc1O,-9.54,3.07
CCSc1ccc(NC(=O)C(=O)NC2CCCCCCC2)cn1,-8.97,4.446
CCn1c(=O)c2cn[nH]c2c2ccc(-c3ccnc(N4CCN(C)CC4)c3)cc21,-9.07,5.029
N#Cc1ccc(-c2cc3c(o2)C(=O)Nc2ccc(N4CCNCC4)cc2C3)cc1,-9.59,4.852
COc1ccc2nccc(C(O)CN3CCC(NCc4ccc5c(n4)NCCC5)CC3)c2c1,-10.49,8.796
CCCNC(=O)N1CCC(c2cc(C)nn2-c2ccc(S(C)(=O)=O)cc2)CC1,-7.67,5.924
CCCCN(CCCC)CCOCC=Cc1ccccc1,-7.33,5.757
COc1ccc(N=NC(=O)NC(CCCCN)C(=O)O)cc1,-7.91,5.889
CCOC(=O)NN=C(C)C=Cc1ccco1,-6.27,3.416
NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)CNCC(=O)O)c(Cl)c1Cl,-7.12,6.941
CC(=O)NCc1nc2ccccc2n1CC(=O)NC(C)(C)C,-7.26,4.654
C=C1C(=O)OC2C(O)C(C)C3=CC(=O)C(C)(O3)C(O)C(OC(=O)CC(C)C)C12,-7.7,4.238
CCn1c(CSC(C)C(C)O)nc2cc(S(=O)(=O)N(C)C)ccc21,-8.21,5.324
O=C1CC(N2CCc3ccccc32)C(=O)N1c1ccccc1,-9.91,3.521
CC(C)(CO)CCCNC(=O)c1c(O)cccc1O,-8.2,4.033
COc1ccc(-c2nn(-c3nc4ccc(S(N)(=O)=O)cc4s3)cc2C=NO)cc1,-10.05,5.759
CC(C)(CCCOc1cccc(OCCCC(C)(C)C(=O)O)c1)C(=O)O,-7.99,7.793
CCOC(=O)NCc1ccc(S(=O)(=O)Nc2ccccc2C)cc1,-8.98,5.382
COc1cccc2c1C(=O)c1c(OC)cc(C=O)cc1C2=O,-7.41,3.318
CN1CCc2cc(Cl)c(O)cc2C2c3cccc(C(=O)O)c3CCC21,-8.09,3.129
CC(=CC(=O)N(C)C(C)c1cc(F)ccc1F)C(C)(C)C,-9.2,3.834
CC(C)(C)NC(=O)COc1ccc(Cl)cc1C(N)=O,-8.02,3.853
Cc1ccc2nc(NC(=O)C(=O)C3C(=O)NC(=S)NC3=O)sc2c1,-9.47,3.762
CCCCCCCCc1ccc(CCC(N)(CO)CCO)cc1,-8.12,7.228
Cc1ccc(O)c(C(=O)c2cnc3c(c2)c(C)nn3-c2ccccc2)c1,-10.24,4.792
CNC(=O)Oc1cccc(C(C)N(C)C)c1,-7.12,3.047
O=C(NCC(=O)N1CCN(c2ncccn2)CC1)c1ccc(F)cc1,-9.46,4.368
Cc1nc(C(=O)C(C#N)c2nc3ccccc3o2)cs1,-8.39,3.503
COc1cc(CN2CCN(Cc3cn(C)c4ccccc34)CC2CCO)cc(OC)c1,-9.3,8.335
CN1c2ccccc2C(=O)NN(c2ccccc2)C1c1ccc(Br)cc1,-9.38,4.587
CCCCCC(N)P(=O)(O)Oc1ccccc1,-7.77,4.13
COc1ccc2c(c1)NP(=S)(c1ccc(Oc3ccccc3)cc1)O2,-9.19,4.401
N#Cc1nccn1CCC1CCCC1(C#N)NC1CC1,-6.84,4.6
O=C1c2cc(C#Cc3ccccc3)ccc2OCCN1Cc1ncccn1,-10.64,5.186
C#CC[N+](C)(C)C(C#Cc1ccccc1)CC=C,-6.92,3.669
CN(CC(=O)Nc1ccccc1Cl)CC(O)Cn1c(=O)c2ccccc2n(C)c1=O,-10.32,7.7
CCCCN(CCCC)S(=O)(=O)c1cc(Br)cc2c1N(C(C)=O)CC2,-6.55,6.29
COC(=O)c1cc(NS(=O)(=O)c2ccc(OC)c(OC)c2)ccc1Cl,-8.07,5.74
CCc1nc2n(n1)CC(NCc1ncc(-c3ccccc3)o1)CC2,-9.66,4.702
C=CCNc1nc(N)c(C(=O)c2ccc(C)cc2)s1,-8.81,3.643
NC(=NO)c1ccc(Sc2cccc(F)c2)c(F)c1,-9.11,3.596
COP(C)(=O)C(N)Cc1ccccc1,-7.2,2.85
CC(NS(=O)(=O)c1ccc2c(c1)OCCCO2)C(=O)O,-8.27,3.723
COC(=O)C(O)(CC(=O)Nc1ccc(Cl)cc1F)C(F)(F)F,-8.72,4.784
